"state","school_name","district","address","latitude","longitude","overall_score","state_rank","national_rank","ap_taken_pct","ap_passed_pct","math_proficiency","reading_proficiency","science_proficiency","graduation_rate","graduation_rate_raw","year","source_url"
"Alabama","Thompson High School","Alabaster City","1921 Warrior Parkway, Alabaster, Alabama 35007",33.221971002976,-86.846392204448,83.12,30,3021,53,28,33,33,39,,"N/A","2025-2026","https://www.usnews.com/education/best-high-schools/alabama/districts/alabaster-city/thompson-high-school-320"
"Alabama","Billingsley High School","Autauga County","2446 County Road 77, Billingsley, Alabama 36006",32.66066490457,-86.70183105343,,,,,,,,28,,"N/A","2025-2026","https://www.usnews.com/education/best-high-schools/alabama/districts/autauga-county/billingsley-high-school-23"
"Alabama","Andalusia High School","Andalusia City","701 Third St, Andalusia, Alabama 36420",31.315339990573,-86.470859975773,54.87,108,8078,,,40,31,38,,"N/A","2025-2026","https://www.usnews.com/education/best-high-schools/alabama/districts/andalusia-city/andalusia-high-school-17"
"Alabama","Albertville High School","Albertville City","402 E Mccord Ave, Albertville, Alabama 35950",34.263173921932,-86.205852749077,54.4,110,8163,32,10,16,23,24,,"N/A","2025-2026","https://www.usnews.com/education/best-high-schools/alabama/districts/albertville-city/albertville-high-school-4"
"Alabama","Baldwin County Virtual School","Baldwin County Public Schools","605 Hwy 98, Daphne, Alabama 36526",30.584475375053,-87.899794340087,71.73,69,5060,14,6,37,64,,,"N/A","2025-2026","https://www.usnews.com/education/best-high-schools/alabama/districts/baldwin-county-public-schools/baldwin-county-virtual-school-200909"
"Alabama","Prattville High School","Autauga County","1315 Upper Kingston Rd, Prattville, Alabama 36067",32.499771007368,-86.46984127087,65.74,82,6132,20,16,27,33,32,95,"95%","2025-2026","https://www.usnews.com/education/best-high-schools/alabama/districts/autauga-county/prattville-high-school-25"
"Alabama","Athens High School","Athens City","655 Hwy 31 North, Athens, Alabama 35611",34.810782643473,-86.948185219844,70.96,74,5198,45,27,25,32,31,,"N/A","2025-2026","https://www.usnews.com/education/best-high-schools/alabama/districts/athens-city/athens-high-school-20"
"Alabama","Robertsdale High School","Baldwin County Public Schools","21630 Highway 59 South, Robertsdale, Alabama 36567",30.540400017305,-87.706530032543,77.63,48,4005,23,10,29,41,43,90,"90%","2025-2026","https://www.usnews.com/education/best-high-schools/alabama/districts/baldwin-county-public-schools/robertsdale-high-school-27"
"Alabama","Foley High School","Baldwin County Public Schools","1 Pride Pl, Foley, Alabama 36535",30.381223663836,-87.687812817902,77.87,46,3962,24,11,30,34,32,88,"88%","2025-2026","https://www.usnews.com/education/best-high-schools/alabama/districts/baldwin-county-public-schools/foley-high-school-31"
"Alabama","Daphne High School","Baldwin County Public Schools","9300 Champions Way, Daphne, Alabama 36526",30.639043576382,-87.86410645948,89,18,1969,44,24,44,53,54,,"N/A","2025-2026","https://www.usnews.com/education/best-high-schools/alabama/districts/baldwin-county-public-schools/daphne-high-school-30"
"Alabama","Arab High School","Arab City","511 Arabian Dr Ne, Arab, Alabama 35016",34.32851386674,-86.488263025088,90.98,11,1614,57,30,43,58,57,,"N/A","2025-2026","https://www.usnews.com/education/best-high-schools/alabama/districts/arab-city/arab-high-school-19"
"Alabama","Auburn High School","Auburn City","1701 E Samford Avenue, Auburn, Alabama 36830",32.599538083054,-85.446244944121,86.13,24,2483,37,27,52,48,54,,"N/A","2025-2026","https://www.usnews.com/education/best-high-schools/alabama/districts/auburn-city/auburn-high-school-22"
"Alabama","Marbury High School","Autauga County","2360 Highway 31 North, Deatsville, Alabama 36022",32.618457312897,-86.482876697463,30.59,178,12425,,,20,28,26,,"N/A","2025-2026","https://www.usnews.com/education/best-high-schools/alabama/districts/autauga-county/marbury-high-school-24"
"Alabama","Anniston High School","Anniston City","1301 Woodstock Ave, Anniston, Alabama 36207",33.66321742601,-85.821748551416,40.58,148,10636,22,0,4,21,16,,"N/A","2025-2026","https://www.usnews.com/education/best-high-schools/alabama/districts/anniston-city/anniston-high-school-18"
"Alabama","Baldwin County High School","Baldwin County Public Schools","One Tiger Dr, Bay Minette, Alabama 36507",30.893577333025,-87.79432745082,77.21,49,4079,19,7,30,40,38,94,"94%","2025-2026","https://www.usnews.com/education/best-high-schools/alabama/districts/baldwin-county-public-schools/baldwin-county-high-school-32"
"Alabama","Athens Renaissance School","Athens City","405 South Street East, Athens, Alabama 35611",34.799880009994,-86.965850879171,58.79,97,7377,15,10,41,59,53,,"N/A","2025-2026","https://www.usnews.com/education/best-high-schools/alabama/districts/athens-city/athens-renaissance-school-200099"
"Alabama","Barbour County High School","Barbour County","165 S Midway Street, Clayton, Alabama 36016",31.868609356349,-85.449246591589,,,,,,,,,,"N/A","2025-2026","https://www.usnews.com/education/best-high-schools/alabama/districts/barbour-county/barbour-county-high-school-34"
"Alabama","Etowah High School","Attalla City","201 Case Avenue Se, Attalla, Alabama 35954",33.994504068991,-86.112696484041,32.5,171,12082,18,5,13,15,13,,"N/A","2025-2026","https://www.usnews.com/education/best-high-schools/alabama/districts/attalla-city/etowah-high-school-21"
"Alabama","Elberta High School","Baldwin County Public Schools","13355main Street, Elberta, Alabama 36530",30.419609688998,-87.598349640796,77.67,47,3998,39,16,31,37,40,,"N/A","2025-2026","https://www.usnews.com/education/best-high-schools/alabama/districts/baldwin-county-public-schools/elberta-high-school-259696"
