"address","latitude","longitude"
"1921 Warrior Parkway, Alabaster, Alabama 35007",33.221971002976,-86.846392204448
"2446 County Road 77, Billingsley, Alabama 36006",32.66066490457,-86.70183105343
"701 Third St, Andalusia, Alabama 36420",31.315339990573,-86.470859975773
"402 E Mccord Ave, Albertville, Alabama 35950",34.263173921932,-86.205852749077
"605 Hwy 98, Daphne, Alabama 36526",30.584475375053,-87.899794340087
"1315 Upper Kingston Rd, Prattville, Alabama 36067",32.499771007368,-86.46984127087
"655 Hwy 31 North, Athens, Alabama 35611",34.810782643473,-86.948185219844
"21630 Highway 59 South, Robertsdale, Alabama 36567",30.540400017305,-87.706530032543
"1 Pride Pl, Foley, Alabama 36535",30.381223663836,-87.687812817902
"9300 Champions Way, Daphne, Alabama 36526",30.639043576382,-87.86410645948
"511 Arabian Dr Ne, Arab, Alabama 35016",34.32851386674,-86.488263025088
"1701 E Samford Avenue, Auburn, Alabama 36830",32.599538083054,-85.446244944121
"2360 Highway 31 North, Deatsville, Alabama 36022",32.618457312897,-86.482876697463
"1301 Woodstock Ave, Anniston, Alabama 36207",33.66321742601,-85.821748551416
"One Tiger Dr, Bay Minette, Alabama 36507",30.893577333025,-87.79432745082
"405 South Street East, Athens, Alabama 35611",34.799880009994,-86.965850879171
"165 S Midway Street, Clayton, Alabama 36016",31.868609356349,-85.449246591589
"201 Case Avenue Se, Attalla, Alabama 35954",33.994504068991,-86.112696484041
"13355main Street, Elberta, Alabama 36530",30.419609688998,-87.598349640796
"18800 Greeno Rd, Fairhope, Alabama 36532",30.498791558233,-87.886115177898
"23908 Canal Road, Orange Beach, Alabama 36561",30.290234593515,-87.617709242495
"One Plaza De Toros, Spanish Fort, Alabama 36527",30.688068974032,-87.853209874667
"2708 Dutch Bend St, Autaugaville, Alabama 36003",32.433785640424,-86.659531156763
"4950 Premiere Parkway, Bessemer, Alabama 35022",33.369464126122,-87.000584437978
"225 Heard Blvd, Alexander City, Alabama 35010",32.937755410677,-85.952245087042
"1800 13th Ave S, Birmingham, Alabama 35205",33.497186099219,-86.798349518788
"100 Tiger Dr, Greenville, Alabama 36037",31.826953601932,-86.64816067928
"4734 Truman Aldrich Parkway, West Blocton, Alabama 35184",33.112143600154,-87.129581496392
"900 Springville Rd, Birmingham, Alabama 35215",33.610124700828,-86.683325620138
"400 Abraham Woods Jr Blvd, Birmingham, Alabama 35204",33.51530446369,-86.829880106649
"71 High School St, Cleveland, Alabama 35049",33.993160572825,-86.574616155107
"2800 Wilson Rd Sw, Birmingham, Alabama 35221",33.454661996771,-86.883670975869
"1300 Avenue F Ensley, Birmingham, Alabama 35218",33.517912564908,-86.891679335064
"125 Atwood Road, Hayden, Alabama 35079",33.890836648326,-86.769289944212
"1950 Sand Rock Avenue, Sand Rock, Alabama 35983",34.240909979791,-85.767349994633
"353 Stadium Dr, Alexandria, Alabama 36250",33.77559637453,-85.885622658461
"220 Birmingham Rd, Centreville, Alabama 35042",32.950770543223,-87.144321788587
"3900 24th Street North, Birmingham, Alabama 35207",33.558797862924,-86.823411118137
"501 Highway 29, Valley, Alabama 36854",32.801983008286,-85.180928865851
"4040 Susan Moore Rd, Blountsville, Alabama 35031",34.083577793664,-86.429039365957
"81 College St, Blountsville, Alabama 35031",34.085485643423,-86.589070857718
"910 Warrior Dr, Centre, Alabama 35960",34.164522228947,-85.659121634589
"5620 First Ave N, Birmingham, Alabama 35212",33.541230755486,-86.751427414556
